"","job.code","job.name.x","tasks.less.automated","tasks.more.automated","May.2017.000s","ordinary.earnings.men","total.earnings.men","ordinary.hours.men","total.hours.men","ordinary.hour.earnings.men","total.hour.earnings.men","ordinary.earnings.women","total.earnings.women","ordinary.hours.women","total.hours.women","ordinary.hour.earnings.women","total.hour.earnings.women","ordinary.earnings.people","total.earnings.people","ordinary.hours.people","total.hours.people","ordinary.hour.earnings.people","total.hour.earnings.people","job.name.y"
"1","821","Construction and Mining Labourers",14,86,183.57,1411.9,1728,38.9,44.4,36.3,38.9,1172.9,1461.3,36.8,41,31.9,35.6,1407.7,1723.4,38.9,44.4,36.2,38.8," Construction and mining labourers"
"2","333","Glaziers, Plasterers and Tilers",15,85,84.03,1278.9,1393.5,36.9,38.5,34.7,36.2,0,0,0,0,0,0,1278.9,1393.5,36.9,38.5,34.7,36.2," Glaziers, plasterers and tilers"
"3","332","Floor Finishers and Painting Trades Workers",16,84,58.51,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA," Floor finishers and painting trades workers"
"4","851","Food Preparation Assistants",16,84,190.2,1099.6,1152.8,41.4,42.9,26.6,26.9,1074.4,1092.1,40.2,40.6,26.7,26.9,1084.5,1116.4,40.7,41.5,26.7,26.9," Food preparation assistants"
"5","811","Cleaners and Laundry Workers",23,77,275.34,974.7,1037.7,37.8,39.3,25.8,26.4,891.3,916.1,37.9,38.5,23.5,23.8,944.6,993.8,37.8,39,25,25.5," Cleaners and laundry workers"
"6","322","Fabrication Engineering Trades Workers",24,76,79.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1238,1486.8,38.4,42.7,32.2,34.8," Fabrication engineering trades workers"
"7","362","Horticultural Trades Workers",25,75,95.42,1109.5,1154.2,38.2,39.1,29.1,29.5,925.9,974.2,36.7,37.7,25.2,25.9,1097.9,1142.8,38.1,39,28.8,29.3," Horticultural trades workers"
"8","832","Packers and Product Assemblers",30,70,90.84,976.2,1035,37.6,39,26,26.6,858.1,927.8,38,40.1,22.6,23.1,924.8,988.3,37.8,39.5,24.5,25," Packers and product assemblers"
"9","321","Automotive Electricians and Mechanics",31,69,114.88,1318.8,1461.3,39.2,42.2,33.7,34.6,973.6,1053.8,37.7,40.2,25.8,26.2,1315,1456.7,39.1,42.2,33.6,34.5," Automotive electricians and mechanics"
"10","721","Mobile Plant Operators",32,68,135.47,1269,1549.8,38.1,43.7,33.3,35.5,1236.3,1852.4,38.1,50.5,32.4,36.7,1268.1,1557.9,38.1,43.9,33.2,35.5," Mobile plant operators"
"11","712","Stationary Plant Operators",32,68,104.96,1903.1,2066.1,40.2,43.2,47.4,47.9,1793.5,1879.3,41.1,42.6,43.6,44.1,1896.6,2055.1,40.2,43.1,47.1,47.6," Stationary plant operators"
"12","324","Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",33,67,39.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178.2,1319.9,38.5,41.8,30.6,31.5," Panelbeaters, and vehicle body builders, trimm"
"13","392","Printing Trades Workers",34,66,18.02,1212.3,1370.9,37.7,40.4,32.1,33.9,1050.2,1089.5,37.6,38.7,27.9,28.1,1170.6,1298.5,37.7,40,31,32.5," Printing trades workers"
"14","394","Wood Trades Workers",34,66,37.59,1035.5,1225.7,38.2,42.7,27.1,28.7,0,0,0,0,0,0,1035.5,1225.7,38.2,42.7,27.1,28.7," Wood trades workers"
"15","393","Textile, Clothing and Footwear Trades Workers",36,64,12.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,996.8,997.4,38,NA,26.2,NA," Textile, clothing and footwear trades workers"
"16","741","Storepersons",37,63,120.05,1023.9,1121.2,38.2,40.4,26.8,27.8,954.3,1023.1,37.5,38.9,25.4,26.3,1014.3,1107.6,38.1,40.2,26.6,27.6," Storepersons"
"17","711","Machine Operators",38,62,58.19,1176.8,1366.2,37.6,41.6,31.3,32.9,912.5,966.9,36.7,38.2,24.9,25.3,1110.5,1266.1,37.4,40.7,29.7,31.1," Machine operators"
"18","831","Food Process Workers",38,62,68.66,1155.2,1266.2,38.5,41.1,30,30.8,941.3,981.1,37.5,38.6,25.1,25.4,1122.6,1222.8,38.3,40.7,29.3,30," Food process workers"
"19","334","Plumbers",40,60,86.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1518.6,1647.7,38,40.1,39.9,41.1," Plumbers"
"20","431","Hospitality Workers",42,58,298.05,1059.1,1067.8,38.9,39.1,27.2,27.3,1014.7,1030,37.9,38.3,26.7,26.9,1035.8,1048,38.4,38.7,27,27.1," Hospitality workers"
"21","399","Miscellaneous Technicians and Trades Workers",44,56,61.45,1847.8,2085.9,38.9,41.6,47.5,50.2,1368.3,1420.6,36.2,37.7,37.8,37.7,1792.1,2008.6,38.6,41.1,46.5,48.9," Miscellaneous technicians and trades workers"
"22","841","Farm, Forestry and Garden Workers",44,56,121.62,922.5,981.6,37.4,39.1,24.7,25.1,842.2,865.3,36.4,36.9,23.1,23.4,909.7,963,37.2,38.7,24.4,24.9," Farm, forestry and garden workers"
"23","331","Bricklayers, and Carpenters and Joiners",45,55,146.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1416.8,1588.2,38.3,41.4,37,38.4," Bricklayers, and carpenters and joiners"
"24","323","Mechanical Engineering Trades Workers",45,55,128.93,1745.5,1974.2,39.6,43.4,44.1,45.5,1475.1,1550.8,41.6,43.4,35.4,35.8,1741.3,1967.6,39.7,43.4,43.9,45.4," Mechanical engineering trades workers"
"25","532","Keyboard Operators",48,52,59.05,1158.9,1242.7,37.2,39.1,31.2,31.8,1115.5,1123.2,37.8,38,29.5,29.6,1125.6,1150.9,37.7,38.3,29.9,30.1," Keyboard operators"
